Abbreviation,FactorName,FactorCategory,DonorHb_Cat,Base_Pre,Base_Pre_SE,Full_Pre,Full_Pre_SE,Base_Post,Base_Post_SE,Full_Post,Full_Post_SE,Base_Diff,Base_Diff_SE,Base_Diff_LCL,Base_Diff_UCL,Full_Diff,Full_Diff_SE,Full_Diff_LCL,Full_Diff_UCL,Storage_Cat,DonorSex,DonorParity,wdy_donation
ARTs,DonorParity,0,,129.60018788,0.5275491079,123.25418876,0.4922084297,131.65465235,0.5275389982,125.14260193,0.4922471593,2.0544644715,0.7460599546,0.5921869606,3.5167419824,1.8884131657,0.6961152233,0.524027328,3.2527990034,,,0,
ARTs,DonorParity,1,,129.3230776,0.5278365414,122.98089066,0.4925092157,131.37754207,0.5278248717,124.86930383,0.4925456271,2.0544644715,0.7464653439,0.5913923975,3.5175365455,1.8884131657,0.6965389597,0.5231968047,3.2536295267,,,1,
ARTs,wdy_donation,1,,125.56702708,1.5121356365,122.73722617,1.4952030356,127.62169147,1.5121471269,124.62561421,1.4952259676,2.0546643851,2.1384908502,-2.136777681,6.2461064516,1.8883880347,2.1145526268,-2.256135114,6.0329111832,,,,1
ARTs,wdy_donation,2,,129.3478053,0.5281490202,123.06999122,0.4928248362,131.40246969,0.5281377097,124.95837926,0.492862174,2.0546643851,0.7469075097,0.5907256661,3.5186031041,1.8883880347,0.6969859695,0.5222955344,3.2544805349,,,,2
ARTs,wdy_donation,3,,129.5286914,0.5281582615,123.21416206,0.4928358137,131.58335579,0.5281466917,125.10255009,0.4928728848,2.0546643851,0.7469203954,0.5907004101,3.5186283601,1.8883880347,0.6970013055,0.5222654759,3.2545105934,,,,3
ARTs,wdy_donation,4,,129.53907798,0.5280243809,123.19497902,0.4927024113,131.59374237,0.5280139454,125.08336705,0.492740889,2.0546643851,0.7467318618,0.591069936,3.5182588341,1.8883880347,0.6968136406,0.5226332991,3.2541427702,,,,4
ARTs,wdy_donation,5,,129.26507338,0.5283094992,122.84765136,0.4930190641,131.31973777,0.528299431,124.73603939,0.4930574654,2.0546643851,0.7471353396,0.5902791194,3.5190496507,1.8883880347,0.6972614013,0.5217556881,3.2550203812,,,,5
ARTs,wdy_donation,6,,129.85944969,0.529438354,123.56860812,0.4941770878,131.91411407,0.529429625,125.45699616,0.4942144915,2.0546643851,0.7487327284,0.5871482375,3.5221805327,1.8883880347,0.6988983887,0.5185471928,3.2582288765,,,,6
ARTs,wdy_donation,7,,130.50521231,0.5305601172,123.86207488,0.4954589539,132.55987669,0.5305523191,125.75046291,0.4955018987,2.0546643851,0.7503197993,0.5840375784,3.5252911918,1.8883880347,0.7007151394,0.5149863615,3.2617897078,,,,7
ARTd,DonorHb_Cat,1,1,58.084183243,0.2730127307,54.490251078,0.2619091659,59.319252567,0.2729975028,55.62068274,0.2619683821,1.2350693241,0.3860875389,0.4783377479,1.9918009003,1.1304316622,0.3704373691,0.4043744188,1.8564889056,,,,
ARTd,DonorHb_Cat,2,2,57.947057802,0.2674134942,54.40355941,0.2560508939,59.182127126,0.2673938684,55.533991072,0.2561066233,1.2350693241,0.378165913,0.4938641346,1.9762745135,1.1304316622,0.3621500556,0.4206175532,1.8402457712,,,,
ARTd,DonorHb_Cat,3,3,57.898538881,0.2673173099,54.350681427,0.255952757,59.133608205,0.2673001711,55.481113089,0.2560110077,1.2350693241,0.3780316463,0.4941272973,1.9760113509,1.1304316622,0.3620130521,0.4208860801,1.8399772443,,,,
ARTd,DonorHb_Cat,4,4,57.878004615,0.2687132621,54.279718747,0.2574331311,59.113073939,0.26869455,55.410150409,0.2574896199,1.2350693241,0.3800047084,0.4902600956,1.9798785525,1.1304316622,0.3641053712,0.4167851346,1.8440781898,,,,
ARTd,DonorHb_Cat,5,5,57.563188159,0.3009849049,53.880743717,0.2908405323,58.798257483,0.3009825932,55.011175379,0.2909086972,1.2350693241,0.4256552999,0.4007849362,2.069353712,1.1304316622,0.411358828,0.3241683593,1.9366949651,,,,
ARTd,Storage_Cat,1,,57.891930158,0.2740661611,54.340491424,0.2623938867,59.116569497,0.2740558358,55.462415672,0.2624621864,1.2246393391,0.387580781,0.4649810083,1.9842976698,1.1219242484,0.3711292916,0.3945108368,1.84933766,1,,,
ARTd,Storage_Cat,2,,57.982158007,0.2715935949,54.481221461,0.2597637527,59.206797346,0.2715778406,55.603145709,0.2598254378,1.2246393391,0.3840802055,0.4718421362,1.9774365419,1.1219242484,0.3674050426,0.4018103649,1.842038132,2,,,
ARTd,Storage_Cat,3,,58.036749789,0.2724289001,54.457875989,0.2606535967,59.261389128,0.2724110364,55.579800237,0.2607121038,1.2246393391,0.3852600139,0.4695297117,1.9797489664,1.1219242484,0.3686612246,0.3993482481,1.8445002487,3,,,
ARTd,Storage_Cat,4,,58.140798508,0.2758678278,54.808245679,0.2641440553,59.365437847,0.275850685,55.930169927,0.2642008237,1.2246393391,0.3901239019,0.4599964914,1.9892821867,1.1219242484,0.3735962489,0.3896756005,1.8541728963,4,,,
ARTd,Storage_Cat,5,,58.437306501,0.2902896293,54.92989592,0.2791486225,59.66194584,0.2902734113,56.051820169,0.2791993628,1.2246393391,0.4105200631,0.4200200155,2.0292586627,1.1219242484,0.3948116483,0.3480934178,1.895755079,5,,,
ARTd,DonorSex,1,,57.871973127,0.2661018698,54.325416184,0.2547520623,59.10703729,0.2660875453,55.457992248,0.254811105,1.2350641633,0.3763147444,0.4974872643,1.9726410623,1.1325760646,0.3603155735,0.4263575405,1.8387945887,,1,,
ARTd,DonorSex,2,,57.964813577,0.2661894192,54.41584389,0.2548440439,59.19987774,0.2661725093,55.548419954,0.2549002655,1.2350641633,0.3764367299,0.4972481728,1.9728801538,1.1325760646,0.36044366,0.426106491,1.8390456382,,2,,
ARTd,DonorParity,0,,57.891998482,0.2660106218,54.337515169,0.2546489026,59.127905877,0.2659958732,55.470719482,0.2547077865,1.2359073947,0.3761854003,0.4985840101,1.9732307794,1.1332043128,0.3601695713,0.4272719531,1.8391366725,,,0,
ARTd,DonorParity,1,,57.984694143,0.2664507234,54.447692791,0.2550996373,59.220601538,0.2664334977,55.580897104,0.2551548738,1.2359073947,0.3768060465,0.4973675435,1.974447246,1.1332043128,0.3608044271,0.4260276358,1.8403809898,,,1,
ARTd,wdy_donation,1,,52.6501763,1.2774459553,50.886549259,1.2730521883,53.886165485,1.2774566635,52.019852559,1.2730732167,1.2359891852,1.8065889671,-2.30492519,4.7769035606,1.1333033002,1.8003825397,-2.395446478,4.662053078,,,,1
ARTd,wdy_donation,2,,57.785975419,0.2668849444,54.278615708,0.2555556654,59.021964604,0.2668684445,55.411919009,0.2556124046,1.2359891852,0.377420641,0.4962447289,1.9757336415,1.1333033002,0.3614504109,0.424860495,1.8417461055,,,,2
ARTd,wdy_donation,3,,57.890407473,0.2668978876,54.361753216,0.2555711912,59.126396659,0.2668808954,55.495056516,0.2556274203,1.2359891852,0.3774385973,0.4962095346,1.9757688358,1.1333033002,0.3614720069,0.4248181666,1.8417884338,,,,3
ARTd,wdy_donation,4,,58.134916609,0.2666960874,54.575617391,0.2553740477,59.370905794,0.2666807558,55.708920692,0.255432334,1.2359891852,0.3771543829,0.4967665947,1.9752117757,1.1333033002,0.3611946587,0.4253617691,1.8412448313,,,,4
ARTd,wdy_donation,5,,57.844709976,0.2671283355,54.255968355,0.255843528,59.080699162,0.2671136364,55.389271655,0.2559016776,1.2359891852,0.3777661213,0.4955675875,1.9764107828,1.1333033002,0.3618585075,0.4240606256,1.8425459749,,,,5
ARTd,wdy_donation,6,,57.817621352,0.2688573571,54.305851765,0.2575792671,59.053610537,0.2688447329,55.439155066,0.2576356396,1.2359891852,0.3802127942,0.4907721085,1.9812062619,1.1333033002,0.3643119565,0.4192518654,1.847354735,,,,6
ARTd,wdy_donation,7,,57.903493713,0.2705678217,54.175561096,0.2594876185,59.139482899,0.2705568806,55.308864396,0.2595521482,1.2359891852,0.3826329466,0.4860286099,1.9859497605,1.1333033002,0.3670165416,0.4139508788,1.8526557217,,,,7
Hjärtfrekv,DonorHb_Cat,1,1,87.643496374,0.4438606374,87.646338638,0.4424651687,86.760974574,0.4438586283,86.739483251,0.4424732841,-0.8825218,0.6277123126,-2.112837933,0.3477943323,-0.906855387,0.6257459809,-2.13331751,0.3196067354,,,,
Hjärtfrekv,DonorHb_Cat,2,2,88.066655419,0.4430306969,88.082078433,0.4416303688,87.184133619,0.4430282074,87.175223046,0.4416379381,-0.8825218,0.6265382597,-2.110536789,0.3454931888,-0.906855387,0.6245650094,-2.131002806,0.3172920313,,,,
Hjärtfrekv,DonorHb_Cat,3,3,87.649577605,0.4430167759,87.65798074,0.4416168699,86.767055805,0.4430145265,86.751125353,0.4416246841,-0.8825218,0.6265187423,-2.110498535,0.3454549346,-0.906855387,0.6245460923,-2.130965728,0.3172549537,,,,
