Abbreviation,TimeFromTransfusion,Z_Mean,VitalName,PlotOrder,Pred,LCL,UCL,VitalParam
ARTd,-670.8116667,0.472821846,Diastolic Blood Pressure (mmHg),3,0.027955584,-0.049135109,0.105046277,ARTd
ARTd,-670.3038333,-0.114510388,Diastolic Blood Pressure (mmHg),3,0.028220217,-0.048452126,0.104892559,ARTd
ARTd,-669.8503333,-0.342607789,Diastolic Blood Pressure (mmHg),3,0.028454107,-0.047849767,0.104757981,ARTd
ARTd,-669.1765,-0.140143483,Diastolic Blood Pressure (mmHg),3,0.028797403,-0.04696791,0.104562717,ARTd
ARTd,-668.825,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.028974477,-0.046514137,0.104463091,ARTd
ARTd,-668.4036667,-0.010120535,Diastolic Blood Pressure (mmHg),3,0.029184921,-0.045975849,0.10434569,ARTd
ARTd,-667.3416667,-0.363039967,Diastolic Blood Pressure (mmHg),3,0.029706618,-0.044646309,0.104059544,ARTd
ARTd,-666.9183333,-0.437338794,Diastolic Blood Pressure (mmHg),3,0.029911092,-0.044127199,0.103949383,ARTd
ARTd,-666.2263333,-0.209612887,Diastolic Blood Pressure (mmHg),3,0.030241068,-0.043291964,0.103774099,ARTd
ARTd,-665.4263333,0.454247139,Diastolic Blood Pressure (mmHg),3,0.030615952,-0.04234696,0.103578865,ARTd
ARTd,-665.3286667,0.374004405,Diastolic Blood Pressure (mmHg),3,0.030661236,-0.042233101,0.103555574,ARTd
ARTd,-664.9293333,1.12293659,Diastolic Blood Pressure (mmHg),3,0.030845297,-0.041770977,0.103461572,ARTd
ARTd,-664.3576667,-0.325890553,Diastolic Blood Pressure (mmHg),3,0.031105738,-0.041118966,0.103330441,ARTd
ARTd,-663.4773333,0.008454172,Diastolic Blood Pressure (mmHg),3,0.031499779,-0.040136849,0.103136406,ARTd
ARTd,-662.4075,-0.734534106,Diastolic Blood Pressure (mmHg),3,0.031967203,-0.038979045,0.102913452,ARTd
ARTd,-661.8745,0.194201242,Diastolic Blood Pressure (mmHg),3,0.032195405,-0.038416804,0.102807613,ARTd
ARTd,-660.804,0.231350656,Diastolic Blood Pressure (mmHg),3,0.032644365,-0.037316783,0.102605513,ARTd
ARTd,-660.4321667,-0.420621558,Diastolic Blood Pressure (mmHg),3,0.032797388,-0.036943795,0.102538571,ARTd
ARTd,-660.343,0.305649484,Diastolic Blood Pressure (mmHg),3,0.03283386,-0.036855047,0.102522766,ARTd
ARTd,-660.1951667,0.110615061,Diastolic Blood Pressure (mmHg),3,0.032894137,-0.0367085,0.102496775,ARTd
ARTd,-659.4928333,-0.474488208,Diastolic Blood Pressure (mmHg),3,0.033177264,-0.036022363,0.10237689,ARTd
ARTd,-658.84,0.383044096,Diastolic Blood Pressure (mmHg),3,0.033435637,-0.035399481,0.102270754,ARTd
ARTd,-658.5881667,-0.381614674,Diastolic Blood Pressure (mmHg),3,0.033534071,-0.035163027,0.10223117,ARTd
ARTd,-657.8218333,-0.248805519,Diastolic Blood Pressure (mmHg),3,0.033829393,-0.034456551,0.102115336,ARTd
ARTd,-656.9438333,0.246767663,Diastolic Blood Pressure (mmHg),3,0.034159959,-0.033671194,0.101991111,ARTd
ARTd,-656.675,-0.251591725,Diastolic Blood Pressure (mmHg),3,0.034259514,-0.033435844,0.101954872,ARTd
ARTd,-656.5221667,-0.097793151,Diastolic Blood Pressure (mmHg),3,0.034315766,-0.033303112,0.101934644,ARTd
ARTd,-654.5596667,0.276672941,Diastolic Blood Pressure (mmHg),3,0.03501583,-0.031667024,0.101698683,ARTd
ARTd,-653.7383333,-0.140143483,Diastolic Blood Pressure (mmHg),3,0.035296603,-0.031019616,0.101612823,ARTd
ARTd,-653.0945,0.196801701,Diastolic Blood Pressure (mmHg),3,0.035511681,-0.030527365,0.101550727,ARTd
ARTd,-652.854,0.171168605,Diastolic Blood Pressure (mmHg),3,0.035590893,-0.030346907,0.101528694,ARTd
ARTd,-652.1493333,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.035819457,-0.029828818,0.101467731,ARTd
ARTd,-652.0283333,-0.311030787,Diastolic Blood Pressure (mmHg),3,0.035858175,-0.029741449,0.101457799,ARTd
ARTd,-651.853,0.157051828,Diastolic Blood Pressure (mmHg),3,0.035914005,-0.029615672,0.101443682,ARTd
ARTd,-650.4015,-0.059715002,Diastolic Blood Pressure (mmHg),3,0.036363748,-0.028611711,0.101339206,ARTd
ARTd,-649.867,0.379948312,Diastolic Blood Pressure (mmHg),3,0.036523781,-0.028258641,0.101306202,ARTd
ARTd,-649.1266667,0.503841607,Diastolic Blood Pressure (mmHg),3,0.036740499,-0.027784237,0.101265234,ARTd
ARTd,-648.762,-0.604511157,Diastolic Blood Pressure (mmHg),3,0.036845142,-0.027556765,0.101247048,ARTd
ARTd,-648.4323333,-0.283168727,Diastolic Blood Pressure (mmHg),3,0.036938548,-0.02735463,0.101231726,ARTd
ARTd,-647.82,-0.251591725,Diastolic Blood Pressure (mmHg),3,0.037109039,-0.026987962,0.101206041,ARTd
ARTd,-646.7063333,-0.139586242,Diastolic Blood Pressure (mmHg),3,0.03740914,-0.026350098,0.101168378,ARTd
ARTd,-645.2365,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.037785601,-0.025564698,0.1011359,ARTd
ARTd,-644.8765,-0.400189381,Diastolic Blood Pressure (mmHg),3,0.037874419,-0.025381989,0.101130827,ARTd
ARTd,-644.5371667,-0.40278984,Diastolic Blood Pressure (mmHg),3,0.037956922,-0.025213209,0.101127053,ARTd
ARTd,-644.1358333,-0.084419362,Diastolic Blood Pressure (mmHg),3,0.038052979,-0.025017877,0.101123835,ARTd
ARTd,-643.7943333,0.136062409,Diastolic Blood Pressure (mmHg),3,0.038133421,-0.024855301,0.101122143,ARTd
ARTd,-643.25,-0.221872194,Diastolic Blood Pressure (mmHg),3,0.038259186,-0.024603026,0.101121397,ARTd
ARTd,-642.7265,-0.298399986,Diastolic Blood Pressure (mmHg),3,0.038377297,-0.0243683,0.101122895,ARTd
ARTd,-641.8025,-0.142929689,Diastolic Blood Pressure (mmHg),3,0.038579003,-0.02397267,0.101130676,ARTd
ARTd,-641.5773333,-0.065844655,Diastolic Blood Pressure (mmHg),3,0.038626851,-0.023879837,0.101133539,ARTd
ARTd,-641.2868333,0.235065597,Diastolic Blood Pressure (mmHg),3,0.038687829,-0.023762122,0.101137779,ARTd
ARTd,-640.3815,-0.006777087,Diastolic Blood Pressure (mmHg),3,0.038872437,-0.023409972,0.101154845,ARTd
ARTd,-640.0215,-0.474488208,Diastolic Blood Pressure (mmHg),3,0.038943568,-0.02327607,0.101163207,ARTd
