wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
5,567,83.659698029,2.1256229627,83.003257344,2.1105117804,78.866717655,87.139797032,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,568,83.642998488,2.1256282819,82.985594025,2.1105174589,78.849043207,87.122144842,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,569,83.626217274,2.1256339757,82.967846583,2.1105235123,78.8312839,87.104409265,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,570,83.609355274,2.1256400478,82.950015932,2.1105299443,78.813440644,87.086591221,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,571,83.592413375,2.1256465018,82.932102988,2.1105367584,78.795514343,87.068691632,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,572,83.575392465,2.1256533414,82.914108663,2.1105439584,78.777505907,87.050711419,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,573,83.558293433,2.12566057,82.896033874,2.1105515477,78.759416243,87.032651505,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,574,83.541117166,2.1256681914,82.877879533,2.11055953,78.741246257,87.014512809,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,575,83.523864551,2.1256762089,82.859646556,2.1105679086,78.722996858,86.996296253,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,576,83.506536477,2.1256846261,82.841335856,2.110576687,78.704668953,86.978002759,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,577,83.489133831,2.1256934464,82.822948349,2.1105858687,78.68626345,86.959633248,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,578,83.471657501,2.1257026731,82.804484948,2.1105954569,78.667781256,86.941188639,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,579,83.454108374,2.1257123096,82.785946568,2.1106054551,78.64922328,86.922669855,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,580,83.436487339,2.1257223592,82.767334123,2.1106158664,78.63059043,86.904077817,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,581,83.418795284,2.1257328251,82.748648528,2.1106266942,78.611883612,86.885413444,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,582,83.401033095,2.1257437106,82.729890697,2.1106379416,78.593103737,86.866677657,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,583,83.383201661,2.1257550188,82.711061544,2.1106496117,78.574251711,86.847871378,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,584,83.36530187,2.1257667529,82.692161984,2.1106617078,78.555328443,86.828995526,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,585,83.347334609,2.1257789159,82.673192932,2.1106742327,78.536334842,86.810051022,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,586,83.329300766,2.125791511,82.654155301,2.1106871897,78.517271816,86.791038786,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,587,83.311201229,2.125804541,82.635050005,2.1107005816,78.498140273,86.771959738,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,588,83.293036885,2.1258180089,82.615877961,2.1107144113,78.478941122,86.752814799,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,589,83.274808623,2.1258319177,82.59664008,2.1107286819,78.459675272,86.733604889,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,590,83.256517329,2.1258462702,82.577337279,2.110743396,78.440343632,86.714330927,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,591,83.238163893,2.1258610692,82.557970472,2.1107585565,78.42094711,86.694993833,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,592,83.219749201,2.1258763175,82.538540572,2.1107741662,78.401486615,86.675594528,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,593,83.201274142,2.1258920178,82.519048494,2.1107902277,78.381963058,86.65613393,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,594,83.182739602,2.1259081728,82.499495153,2.1108067437,78.362377346,86.63661296,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,595,83.164146471,2.1259247851,82.479881463,2.1108237169,78.342730389,86.617032537,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,596,83.145495635,2.1259418572,82.460208338,2.1108411497,78.323023096,86.59739358,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,597,83.126787982,2.1259593918,82.440476693,2.1108590447,78.303256377,86.577697009,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,598,83.108024401,2.1259773912,82.420687442,2.1108774043,78.283431142,86.557943742,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
5,599,83.089205778,2.125995858,82.4008415,2.110896231,78.2635483,86.538134699,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
