TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
702,4,60.997271885,1.1618513687,57.992168453,1.1036691411,55.829009601,60.155327304,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
703,4,60.993269518,1.1622606777,57.99046227,1.1040920694,55.826474491,60.154450048,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
704,4,60.989267151,1.1626727642,57.988756087,1.1045178632,55.823933765,60.153578409,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
705,4,60.985264783,1.1630876252,57.987049904,1.1049465193,55.821387429,60.152712379,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
706,4,60.981262416,1.1635052578,57.985343721,1.1053780344,55.818835489,60.151851953,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
707,4,60.977260049,1.1639256591,57.983637538,1.1058124051,55.816277953,60.150997124,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
708,4,60.973257681,1.1643488259,57.981931356,1.1062496281,55.813714826,60.150147886,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
709,4,60.969255314,1.1647747554,57.980225173,1.1066896999,55.811146115,60.14930423,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
710,4,60.965252946,1.1652034444,57.97851899,1.1071326172,55.808571827,60.148466152,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
711,4,60.961250579,1.1656348899,57.976812807,1.1075783766,55.805991969,60.147633645,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
712,4,60.957248212,1.1660690889,57.975106624,1.1080269746,55.803406548,60.146806701,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
713,4,60.953245844,1.1665060382,57.973400441,1.1084784078,55.800815569,60.145985314,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
714,4,60.949243477,1.1669457349,57.971694259,1.1089326727,55.798219041,60.145169477,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
715,4,60.945241109,1.1673881757,57.969988076,1.1093897659,55.795616969,60.144359183,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
716,4,60.941238742,1.1678333577,57.968281893,1.1098496838,55.79300936,60.143554425,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
717,4,60.937236375,1.1682812775,57.96657571,1.1103124229,55.790396223,60.142755198,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
718,4,60.933234007,1.1687319322,57.964869527,1.1107779797,55.787777562,60.141961492,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
719,4,60.92923164,1.1691853184,57.963163344,1.1112463508,55.785153386,60.141173303,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
720,4,60.925229272,1.1696414332,57.961457162,1.1117175324,55.782523701,60.140390622,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,5,62.449542358,1.3114236591,58.249836904,1.2586386569,55.782942388,60.716731421,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
