DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
1,10,81.983080591,2.1096206554,81.161502282,2.0951331767,77.055104196,85.267900368,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,11,81.973915294,2.1095755279,81.152244525,2.0950883982,77.045934204,85.258554847,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,12,81.964773921,2.1095269543,81.14302263,2.095040205,77.036806765,85.249238494,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,13,81.955659174,2.1094751158,81.133839186,2.0949887771,77.027724119,85.239954253,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,14,81.946573753,2.1094201967,81.124696786,2.0949342977,77.018688497,85.230705075,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,15,81.937520358,2.1093623836,81.115598021,2.0948769521,77.009702128,85.221493914,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,16,81.928501691,2.1093018647,81.106545484,2.0948169273,77.000767237,85.21232373,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,17,81.919520451,2.1092388295,81.097541765,2.0947544117,76.991886047,85.203197483,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,18,81.910579341,2.1091734683,81.088589456,2.0946895942,76.983060779,85.194118134,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,19,81.90168106,2.1091059716,81.07969115,2.0946226643,76.974293653,85.185088647,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,20,81.892828309,2.1090365299,81.070849438,2.0945538111,76.965586891,85.176111984,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,21,81.884023788,2.1089653328,81.06206691,2.0944832231,76.956942714,85.167191107,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,22,81.875270199,2.1088925692,81.05334616,2.094411088,76.948363346,85.158328974,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,23,81.866570242,2.1088184263,81.044689778,2.0943375917,76.939851015,85.149528542,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,24,81.857926618,2.1087430894,81.036100357,2.0942629184,76.931407951,85.140792763,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,25,81.849342028,2.1086667418,81.027580488,2.0941872501,76.92303639,85.132124586,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,26,81.840819171,2.108589564,81.019132762,2.0941107662,76.91473857,85.123526954,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,27,81.832360749,2.1085117336,81.010759772,2.0940336431,76.906516739,85.115002805,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,28,81.823969462,2.1084334248,81.002464108,2.0939560539,76.898373148,85.106555069,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,29,81.815648012,2.1083548083,80.994248364,2.093878168,76.890310057,85.09818667,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,30,81.807399098,2.1082760507,80.986115129,2.0938001511,76.882329733,85.089900525,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,31,81.799225422,2.1081973146,80.978066996,2.0937221645,76.874434452,85.081699541,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,32,81.791129684,2.1081187578,80.970106557,2.093644365,76.866626497,85.073586617,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,33,81.783114585,2.1080405335,80.962236403,2.0935669047,76.858908163,85.065564643,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,34,81.775182825,2.1079627899,80.954459126,2.0934899307,76.851281753,85.057636499,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,35,81.767337106,2.1078856697,80.946777317,2.0934135847,76.84374958,85.049805055,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,36,81.759580127,2.1078093104,80.939193569,2.0933380032,76.836313969,85.042073169,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,37,81.75191459,2.1077338436,80.931710472,2.0932633167,76.828977256,85.034443689,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,38,81.744343194,2.1076593951,80.924330619,2.0931896501,76.821741787,85.026919451,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,39,81.736868642,2.1075860846,80.917056601,2.0931171221,76.814609922,85.01950328,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,40,81.729493633,2.1075140256,80.90989101,2.0930458453,76.807584031,85.012197989,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,41,81.722220869,2.1074433253,80.902836437,2.092975926,76.800666497,85.005006376,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,42,81.715053049,2.1073740843,80.895895474,2.0929074639,76.793859718,84.99793123,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,43,81.707992875,2.1073063967,80.889070713,2.0928405522,76.787166102,84.990975324,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,44,81.701043047,2.1072403497,80.882364745,2.0927752774,76.780588071,84.984141419,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,45,81.694206266,2.107176024,80.875780163,2.0927117192,76.774128061,84.977432265,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,46,81.687485232,2.1071134932,80.869319557,2.0926499505,76.76778852,84.970850594,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,47,81.680882647,2.107052824,80.862985519,2.0925900374,76.76157191,84.964399128,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,48,81.67440121,2.1069940763,80.856780642,2.0925320389,76.755480708,84.958080575,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,49,81.668043624,2.106937303,80.850707516,2.092476007,76.749517403,84.951897629,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,50,81.661812587,2.1068825498,80.844768733,2.0924219872,76.743684497,84.945852969,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,51,81.655710801,2.1068298556,80.838966885,2.0923700174,76.737984509,84.939949262,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,52,81.649740967,2.1067792524,80.833304564,2.092320129,76.732419967,84.934189161,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,53,81.643905785,2.1067307652,80.827784362,2.0922723465,76.726993417,84.928575306,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,54,81.638207956,2.106684412,80.822408869,2.0922266874,76.721707415,84.923110323,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,55,81.632650181,2.1066402043,80.817180678,2.0921831624,76.716564531,84.917796824,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,56,81.62723516,2.1065981466,80.81210238,2.0921417757,76.71156735,84.912637409,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,57,81.621965594,2.106558237,80.807176566,2.0921025248,76.706718467,84.907634666,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,58,81.616844184,2.106520467,80.80240583,2.0920654007,76.702020493,84.902791167,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,59,81.611873629,2.1064848216,80.797792761,2.0920303881,76.697476048,84.898109475,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,60,81.607056632,2.1064512799,80.793339953,2.0919974654,76.693087767,84.893592139,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,61,81.602395287,2.106419809,80.789049401,2.0919665997,76.688857711,84.889241091,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,62,81.597889267,2.1063903494,80.784920727,2.0919377315,76.684785618,84.885055836,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,63,81.593537637,2.1063628369,80.780952955,2.0919107968,76.680870637,84.881035273,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,64,81.589339466,2.106337208,80.777145111,2.0918857325,76.677111918,84.877178304,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,65,81.585293819,2.1063134006,80.77349622,2.0918624767,76.673508608,84.873483833,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,66,81.581399765,2.1062913538,80.770005309,2.0918409687,76.670059852,84.869950766,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,67,81.577656368,2.1062710075,80.766671402,2.0918211487,76.666764791,84.866578012,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,68,81.574062698,2.1062523031,80.763493525,2.0918029583,76.663622567,84.863364483,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,69,81.570617819,2.1062351829,80.760470703,2.09178634,76.660632316,84.86030909,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,70,81.567320799,2.1062195904,80.757601962,2.0917712375,76.657793176,84.857410748,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,71,81.564170705,2.1062054699,80.754886328,2.0917575955,76.65510428,84.854668376,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,72,81.561166604,2.1061927671,80.752322826,2.0917453598,76.652564759,84.852080892,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,73,81.558307562,2.1061814287,80.749910481,2.0917344773,76.650173744,84.849647218,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
1,74,81.555592646,2.1061714023,80.747648319,2.0917248958,76.647930361,84.847366276,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
